[12/Sep/2020:11:48:40 +0000] 59.94.151.56 nginx to - [GET /static/login.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.001 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to 127.0.0.1:5001 [GET /login HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:44 +0000] 157.49.162.224 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:45 +0000] 157.49.162.224 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:48 +0000] 157.49.162.224 nginx to 172.105.63.71:5001 [GET /favicon.ico HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:48:58 +0000] 106.217.121.13 nginx to 172.105.63.71:5002 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:48:58 +0000] 106.217.121.13 nginx to 127.0.0.1:5002 [GET /login HTTP/1.1] request_time 0.022 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:48:59 +0000] 106.217.121.13 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:48:59 +0000] 106.217.121.13 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:49:00 +0000] 157.49.200.155 nginx to 172.105.63.71:5000 [GET / HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:00 +0000] 157.49.200.155 nginx to 127.0.0.1:5000 [GET /login HTTP/1.1] request_time 0.004 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:00 +0000] 106.217.121.13 nginx to 127.0.0.1:5001 [GET /favicon.ico HTTP/1.1] request_time 0.002 Mozilla/5.0 (Linux; Android 8.0.0; ASUS_X00RD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Mobile Safari/537.36
[12/Sep/2020:11:49:01 +0000] 157.49.200.155 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:01 +0000] 157.49.200.155 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:03 +0000] 157.49.200.155 nginx to 172.105.63.71:5001 [GET /favicon.ico HTTP/1.1] request_time 0.005 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:10 +0000] 157.49.162.224 nginx to 172.105.63.71:5002 [POST /login HTTP/1.1] request_time 1.229 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:10 +0000] 157.49.162.224 nginx to [::1]:5001, [::1]:5000, [::1]:5002, 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.004 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:10 +0000] 157.49.162.224 nginx to - [GET /static/login.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:52 +0000] 157.49.200.155 nginx to 172.105.63.71:5000 [POST /login HTTP/1.1] request_time 1.216 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:49:52 +0000] 59.94.151.56 nginx to 127.0.0.1:5000 [GET /login HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51
